"","Species","effect","LCL","UCL","betaName"
"1","Red-eyed Dove",0.302477724120195,-0.124636469181186,1.18326391187894,"Shrub cover"
"2","Cape Turtle Dove",0.707236775424193,-0.128436098868724,2.28313698886505,"Shrub cover"
"3","Emerald-spotted Wood Dove",0.0534795003881661,-0.0058520551520691,0.261814499879108,"Shrub cover"
"4","Speckled Mousebird",0.150678153917937,-0.075871205766824,0.507685104377211,"Shrub cover"
"5","Red-faced Mousebird",1.22699272988026,-0.0365162419613477,4.20547263988818,"Shrub cover"
"6","Woodland Kingfisher",0.0120950432643704,-0.104466045040301,0.171325637511264,"Shrub cover"
"7","Acacia Pied Barbet",-0.0686059508949546,-0.198708689284787,0.0929563172667554,"Shrub cover"
"8","Golden-tailed Woodpecker",0.247814947268343,0.00766966342454576,0.72059985534147,"Shrub cover"
"9","Cardinal Woodpecker",0.441927379827314,0.0703596824058956,1.46448211583177,"Shrub cover"
"10","Barn Swallow",-0.0372103500539417,-0.0618287287576721,-0.0176032123303023,"Shrub cover"
"11","Fork-tailed Drongo",0.158516367574609,-0.0185461565203077,0.689049084030356,"Shrub cover"
"12","Black-headed Oriole",0.135170646543341,0.0160516222963736,0.355264304506229,"Shrub cover"
"13","Southern Black Tit",0.842411712573207,0.115468717355008,1.89044384361993,"Shrub cover"
"14","Dark-capped Bulbul",0.0499612833456984,-0.00679926980779653,0.134043692920966,"Shrub cover"
"15","Terrestrial Brownbul",0.079432865822859,0.0412753469087388,0.140597846854173,"Shrub cover"
"16","Sombre Greenbul",0.073259670419774,0.0403438231624152,0.114933780481618,"Shrub cover"
"17","Eastern Nicator",0.0417755172119688,-0.00999492009786821,0.101849041035612,"Shrub cover"
"18","Kurrichane Thrush",0.335086558342435,-0.0230878301955573,1.21072498857118,"Shrub cover"
"19","White-browed Scrub Robin",0.550653338340987,0.166196411303041,1.27765420808448,"Shrub cover"
"20","Willow Warbler",3.35181286577505,0.70300484392902,6.29873146788226,"Shrub cover"
"21","Yellow-breasted Apalis",0.409249283220062,0.0818156045894493,0.95621966245389,"Shrub cover"
"22","Long-billed Crombec",0.38160079736938,0.0373342484764872,1.19237724567084,"Shrub cover"
"23","Green-backed Camaroptera",0.0681446524677292,0.028381723184539,0.150422773250484,"Shrub cover"
"24","Rattling Cisticola",-0.0107155107659496,-0.0306625715066582,0.0105400748572194,"Shrub cover"
"25","Red-faced Cisticola",-0.0356430890481597,-0.105909421335344,0.0264976087647303,"Shrub cover"
"26","Tawny-flanked Prinia",0.00294367394222447,-0.0186677094724475,0.0257663775725152,"Shrub cover"
"27","Spotted Flycatcher",0.137574398450472,0.00816800469818316,0.307237443677766,"Shrub cover"
"28","Chinspot Batis",0.0302792131493813,-0.0122357505973509,0.0888317531177654,"Shrub cover"
"29","African Paradise Flycatcher",0.0517242178668068,-0.00765851685594726,0.176762603618496,"Shrub cover"
"30","Southern Fiscal",-0.24206168491865,-0.458007788902041,-0.0877955140417662,"Shrub cover"
"31","Red-backed Shrike",-0.0146326104212303,-0.0371981392189381,0.00763696926313125,"Shrub cover"
"32","Southern Boubou",0.040879458674803,0.0114094022500248,0.076709433539613,"Shrub cover"
"33","Black-backed Puffback",0.382386942712513,0.0525645471669904,0.960375082497778,"Shrub cover"
"34","Brown-crowned Tchagra",0.698826360736156,-0.0362148828245629,2.25778141716331,"Shrub cover"
"35","Black-crowned Tchagra",-0.117567089676818,-0.265938669256443,-0.02200517598513,"Shrub cover"
"36","Gorgeous Bushshrike",0.116826391104027,0.0219520519645588,0.26217551867947,"Shrub cover"
"37","Violet-backed Starling",0.0942389696852679,-0.130592261138753,0.698218036431218,"Shrub cover"
"38","Cape Glossy Starling",0.00787820253028569,-0.0491131413549585,0.0809519470419489,"Shrub cover"
"39","White-bellied Sunbird",0.0339305080129775,0.0138962441453514,0.0573018381333658,"Shrub cover"
"40","Scarlet-chested Sunbird",5.3311869778228,0.0155324269603971,9.77468953141292,"Shrub cover"
"41","Cape White-eye",-0.00373527890046097,-0.0446876542138608,0.033774286133873,"Shrub cover"
"42","House Sparrow",-0.00721022103728937,-0.0416490616448242,0.0266951365677898,"Shrub cover"
"43","Southern Grey-headed Sparrow",-0.0319130131061816,-0.0574528743275857,-0.0101728930719759,"Shrub cover"
"44","Spectacled Weaver",4.13386050888125,0.557561375099746,10.0461543244763,"Shrub cover"
"45","Southern Masked Weaver",-0.0269465171496924,-0.136018670320658,0.0650783541465773,"Shrub cover"
"46","Blue Waxbill",-0.0221044549289661,-0.0532400757758239,0.00835059066250633,"Shrub cover"
"47","Yellow-fronted Canary",-0.00873816761056036,-0.0282452192829691,0.0105878701454186,"Shrub cover"
"48","Golden-breasted Bunting",-0.0132645823733724,-0.195015059720804,0.422605692633523,"Shrub cover"
"49","Red-eyed Dove",6.31343157418968,-4.69366736706068,20.9400006003428,"Protected"
"50","Cape Turtle Dove",8.97721431529671,-1.04154830070672,22.8074822368574,"Protected"
"51","Emerald-spotted Wood Dove",2.19899683186844,-0.298177151975157,5.78578196660619,"Protected"
"52","Speckled Mousebird",0.347524737117055,-7.89953466064976,10.0050581790718,"Protected"
